zbior,topologia,sasiedztwo,siatka,epoki,sigma,alpha0,lambda,seed,blad_kwantyzacji,klasy_rzeczywiste,klastry_na_mapie,zgodna_liczba_klastrow,aktywne_neurony,neurony_jednoklasowe,wszystkie_neurony_jednoklasowe,srednia_czystosc,min_czystosc
mnist,hexagonal,mexican_hat,8x8,10,0.7,0.08,9000.0,42,20.726038,10,10,True,10,2,False,0.638276,0.268519
mnist,hexagonal,mexican_hat,8x8,10,0.9,0.03,9000.0,42,21.433735,10,8,False,10,4,False,0.679188,0.272727
mnist,hexagonal,mexican_hat,8x8,10,0.9,0.05,9000.0,42,21.205173,10,6,False,6,0,False,0.505708,0.232283
mnist,hexagonal,mexican_hat,8x8,10,0.9,0.08,9000.0,42,21.320964,10,5,False,5,0,False,0.489293,0.321267
mnist,hexagonal,mexican_hat,8x8,10,1.1,0.03,9000.0,42,20.129322,10,10,True,12,0,False,0.580421,0.222222
mnist,hexagonal,mexican_hat,8x8,10,1.1,0.05,9000.0,42,20.483473,10,10,True,10,1,False,0.594672,0.307018
mnist,hexagonal,mexican_hat,8x8,10,1.1,0.08,9000.0,42,20.240723,10,12,False,12,0,False,0.56937,0.2
mnist,hexagonal,mexican_hat,10x10,10,0.5,0.03,9000.0,42,19.185209,10,29,False,30,10,False,0.75865,0.188406
mnist,hexagonal,mexican_hat,10x10,10,0.5,0.05,9000.0,42,19.294937,10,27,False,28,8,False,0.767661,0.387387
mnist,hexagonal,mexican_hat,10x10,10,0.5,0.08,9000.0,42,19.406798,10,23,False,23,4,False,0.700131,0.369231
mnist,hexagonal,mexican_hat,10x10,10,0.7,0.03,9000.0,42,20.414538,10,13,False,13,5,False,0.708387,0.280822
mnist,hexagonal,mexican_hat,10x10,10,0.7,0.05,9000.0,42,20.139507,10,13,False,13,2,False,0.610024,0.285714
mnist,hexagonal,mexican_hat,10x10,10,0.7,0.08,9000.0,42,20.312349,10,14,False,14,4,False,0.677848,0.354839
mnist,hexagonal,mexican_hat,10x10,10,0.9,0.03,9000.0,42,20.609406,10,13,False,13,3,False,0.673344,0.285068
mnist,hexagonal,mexican_hat,10x10,10,0.9,0.05,9000.0,42,20.517407,10,8,False,8,0,False,0.51053,0.344595
mnist,hexagonal,mexican_hat,10x10,10,0.9,0.08,9000.0,42,20.927279,10,10,True,10,4,False,0.684948,0.282051
mnist,hexagonal,mexican_hat,10x10,10,1.1,0.03,9000.0,42,19.751674,10,17,False,18,3,False,0.657428,0.27027
mnist,hexagonal,mexican_hat,10x10,10,1.1,0.05,9000.0,42,19.573269,10,18,False,20,5,False,0.704036,0.193548
mnist,hexagonal,mexican_hat,10x10,10,1.1,0.08,9000.0,42,19.579146,10,18,False,18,3,False,0.704022,0.216216
mnist,hexagonal,mexican_hat,12x8,10,0.5,0.03,9000.0,42,19.256134,10,26,False,26,6,False,0.742873,0.39779
mnist,hexagonal,mexican_hat,12x8,10,0.5,0.05,9000.0,42,19.149131,10,27,False,27,6,False,0.733262,0.357143
mnist,hexagonal,mexican_hat,12x8,10,0.5,0.08,9000.0,42,19.103435,10,25,False,25,3,False,0.689434,0.416667
mnist,hexagonal,mexican_hat,12x8,10,0.7,0.03,9000.0,42,20.414503,10,16,False,16,6,False,0.747641,0.268041
mnist,hexagonal,mexican_hat,12x8,10,0.7,0.05,9000.0,42,20.30457,10,10,True,10,1,False,0.556679,0.285714
